object_counts,physics_update_elapsed_time,render_elapsed_time
13670,4261,257
13680,4360,246
13690,5190,294
13700,4615,262
13710,5241,289
13720,5560,268
13730,5334,228
13740,4739,215
13750,4826,203
13760,4369,297
13770,4456,215
13780,4493,271
13790,5273,300
13800,5225,247
13810,4980,304
13820,5001,201
13830,5123,295
13840,4469,247
13850,5123,268
13860,4542,221
13870,4392,217
13880,4477,301
13890,4514,284
13900,5017,299
13910,5302,274
13920,5158,275
13930,4822,184
13940,5257,264
13950,4975,257
13960,4983,274
13970,5227,277
13980,4792,290
13990,5361,300
14000,5234,294
14010,4628,261
14020,4479,244
14030,4991,274
14040,4598,301
14050,5314,285
14060,4565,255
14070,4491,202
14080,4707,272
14090,5032,235
14100,5609,297
14110,4633,257
14120,4883,246
14130,4689,264
14140,4599,265
14150,5072,292
14160,5294,314
14170,4801,301
14180,5032,296
14190,5471,304
14200,5026,278
14210,4698,279
14220,5490,265
14230,5328,318
14240,4906,291
14250,4888,298
14260,4738,276
14270,4933,258
14280,4189,260
14290,4504,258
14300,5270,295
14310,5157,276
14320,5327,293
14330,5153,313
14340,4476,244
14350,5075,233
14360,4201,281
14370,4751,279
14380,5493,296
14390,4848,287
14400,5034,302
14410,5479,301
14420,5111,280
14430,4773,217
14440,5089,307
14450,5516,305
14460,5634,271
14470,4729,246
14480,4260,255
14490,5739,281
14500,5071,260
14510,5211,273
14520,5720,295
14530,5548,314
14540,4695,284
14550,4644,272
14560,5500,300
14570,5227,263
14580,5178,299
14590,4710,234
14600,4869,274
14610,4705,254
14620,5603,308
14630,4943,289
14640,4531,276
14650,5619,318
14660,5262,310
14670,4344,285
14680,5596,295
14690,5841,199
14700,4982,274
14710,4827,247
14720,4653,245
14730,5146,260
14740,5795,263
14750,4427,267
14760,4797,252
14770,5279,285
14780,5154,293
14790,5189,323
14800,5346,295
14810,5585,287
14820,5738,279
14830,4704,260
14840,5430,276
14850,5556,319
14860,5210,286
14870,5142,263
14880,5176,289
14890,5366,283
14900,4766,267
14910,5087,300
14920,5350,332
14930,5348,302
14940,5031,286
14950,5028,267
14960,5748,235
14970,5710,338
14980,5648,330
14990,5868,306
15000,5471,287
15010,5940,313
15020,5112,261
15030,4998,245
15040,5951,299
15050,5832,309
15060,4934,260
15070,5908,318
15080,5402,295
15090,5171,200
15100,5872,320
15110,5487,297
15120,5101,287
15130,5447,323
15140,5559,205
15150,5163,274
15160,5866,300
15170,6210,270
15180,4909,255
15190,4818,279
15200,4580,293
15210,5793,320
15220,5174,284
15230,4876,263
15240,6146,310
15250,5511,273
15260,5427,312
15270,4524,270
15280,5155,328
15290,5030,256
15300,5804,311
15310,4936,266
15320,5435,318
15330,4603,187
15340,5398,287
15350,5705,305
15360,4783,266
15370,5147,286
15380,5467,300
15390,5149,223
15400,5958,301
15410,5414,289
15420,4675,281
15430,4720,261
15440,5833,294
15450,5985,273
15460,4685,243
15470,5932,236
15480,5087,263
15490,5664,305
15500,5278,282
15510,5961,304
15520,5295,287
15530,6099,295
15540,5360,320
15550,5465,297
15560,5436,271
15570,5693,295
15580,5328,305
15590,5579,295
15600,5101,283
15610,6007,304
15620,5129,272
15630,4854,279
15640,5046,281
15650,5452,293
15660,5153,293
15670,6096,310
15680,5273,265
15690,4683,373
15700,5606,329
15710,5732,317
15720,5535,320
15730,5909,342
15740,5600,302
15750,5886,269
15760,5508,278
15770,5702,236
15780,5205,312
15790,5578,232
15800,5941,327
15810,5875,270
15820,5457,306
15830,5463,355
15840,5238,307
15850,6107,289
15860,6205,292
15870,5343,288
15880,5801,325
15890,5575,296
15900,5567,329
15910,6043,306
15920,5374,269
15930,5911,285
15940,6270,321
15950,6193,314
15960,5236,299
15970,5575,288
15980,5478,306
15990,5675,330
16000,5914,292
16010,4792,284
16020,5387,221
16030,5373,301
16040,5429,286
16050,5352,272
16060,4853,273
16070,5859,308
16080,4898,291
16090,5941,337
16100,5511,321
16110,5522,290
16120,5049,277
16130,6149,316
16140,5248,277
16150,5242,225
16160,5332,221
16170,5451,322
16180,5068,208
16190,6271,312
16200,5732,236
16210,5475,302
16220,6095,318
16230,6222,596
16240,5491,314
16250,6220,316
16260,5451,195
16270,5798,266
16280,5645,302
16290,5999,301
16300,5351,281
16310,5529,297
16320,5367,205
16330,5983,315
16340,5527,313
16350,5559,304
16360,5374,313
16370,6246,329
16380,5585,289
16390,5953,332
16400,6419,330
16410,6012,300
16420,5774,339
16430,6266,298
16440,5855,314
16450,5781,262
16460,6038,348
16470,5561,214
16480,5314,201
