object_counts,gpu_elapsed_time,physics_update_elapsed_time,render_elapsed_time
20260,4055.65,5020,299
20280,3915.01,4866,302
20300,3973.47,4962,283
20320,3977.98,4928,306
20340,4053.44,4487,293
20360,5259.97,6033,296
20380,4058.85,5018,305
20400,4121.89,4830,338
20420,4286.14,5295,312
20440,4185.7,4913,313
20460,4471.33,5161,292
20480,6807.07,7509,296
20500,4107.71,5048,299
20520,4102.18,5032,286
20540,4047.42,5022,287
20560,4014.5,4958,310
20580,4047.84,4936,333
20600,4552.38,5361,320
20620,4268.77,5229,317
20640,4273.22,5217,301
20660,4102.56,5082,286
20680,4158.94,5112,305
20700,4187.71,5030,323
20720,5192.29,5945,292
20740,3961.98,4894,287
20760,3990.75,4710,312
20780,3975.78,4974,340
20800,4018.11,4971,321
20820,4016.8,4817,293
20840,5362.02,6073,316
20860,3975.2,4907,298
20880,3901.15,4597,320
20900,3843.68,4789,292
20920,3894.82,4858,312
20940,3857.41,4700,335
20960,5052.7,5798,329
20980,3919.94,4349,314
21000,3945.73,4627,313
21020,3990.78,4664,290
21040,4051.81,4888,313
21060,4031.42,5011,309
21080,5576.8,6395,307
21100,4065.18,4730,294
21120,4115.14,5099,313
21140,4102.75,5092,319
21160,4171.33,5150,316
21180,3967.17,4661,301
21200,6399.97,7103,292
21220,4291.74,5267,322
21240,4224.77,4666,360
21260,4187.9,4884,328
21280,3863.74,4596,318
21300,3861.63,4594,354
21320,4119.04,4844,334
21340,4095.23,4818,332
21360,4113.06,4922,321
21380,4222.24,4947,330
21400,4297.31,5148,318
21420,3975.33,4652,294
21440,4260.93,4957,293
21460,4261.6,4940,298
21480,4184.19,4902,337
21500,4165.22,4634,328
21520,4234.11,4747,333
21540,4032.26,4756,295
21560,4154.05,4843,302
21580,4163.39,4847,308
21600,4078.27,4804,317
21620,4128.38,4884,294
21640,4151.04,4593,319
21660,3951.1,4410,307
21680,4209.98,4946,336
21700,4252.83,4951,312
21720,4113.98,4841,302
21740,4203.1,4898,322
21760,4163.07,4851,322
21780,3968.13,4667,311
21800,4103.55,4794,309
21820,4009.28,4456,319
21840,4255.14,5060,336
21860,4316.19,5138,344
21880,4284.86,4811,358
21900,4255.36,4981,340
21920,4267.9,4964,307
21940,4315.36,5013,305
21960,4201.73,4890,304
21980,4288.06,4981,314
22000,4175.68,4901,329
22020,4269.47,4707,337
22040,4293.63,4760,339
22060,4383.07,5118,331
22080,4360.38,5084,340
22100,4383.2,5190,303
22120,4515.07,5249,345
22140,4538.18,4980,298
22160,4386.56,4821,318
22180,4259.58,4952,310
22200,4297.02,5033,333
22220,4264.03,4972,328
22240,4246.43,4690,370
